quarterly,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,FRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,BRA,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,MEX,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,ITA,SPA,SPA,SPA,SPA,SPA,SPA,SPA,SPA,SPA,SPA,SPA,GER,GER,GER,GER,GER,GER,GER,GER,GER,GER,GER,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,POL,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,UK,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,CAN,SAF,SAF,SAF,SAF,SAF,SAF,SAF,SAF,SAF,SAF,SAF,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,AUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,CEL,CEL,CEL,CEL,CEL,CEL,CEL
,ST OIS,LI OIS,LI Pocket,LI Utility,SH OIS ,GDP,UNEMP,BCI,CCI,CLI,BTS,ST OIS,LI OIS,LI Pocket,LI Utility,SH OIS ,GDP,UNEMP,BCI,CCI,CLI,BTS,ST OIS,LI OIS,LI Pocket,LI Utility,SH OIS ,GDP,UNEMP,BCI,CCI,CLI,BTS,ST OIS,LI OIS,LI Pocket,LI Utility,SH OIS ,GDP,UNEMP,BCI,CCI,CLI,BTS,ST OIS,LI OIS,LI Pocket,LI Utility,SH OIS ,GDP,UNEMP,BCI,CCI,CLI,BTS,ST OIS,LI OIS,LI Pocket,LI Utility,SH OIS ,GDP,UNEMP,BCI,CCI,CLI,BTS,ST OIS,LI OIS,LI Pocket,LI Utility,SH OIS ,GDP,UNEMP,BCI,CCI,CLI,BTS,ST OIS,LI OIS,LI Pocket,LI Utility,SH OIS ,GDP,UNEMP,BCI,CCI,CLI,BTS,ST OIS,LI OIS,LI Pocket,LI Utility,SH OIS ,GDP,UNEMP,BCI,CCI,CLI,BTS,ST OIS,LI OIS,LI Pocket,LI Utility,SH OIS ,GDP,UNEMP,BCI,CCI,CLI,BTS,ST OIS,LI OIS,LI Pocket,LI Utility,SH OIS ,GDP,UNEMP,BCI,CCI,CLI,BTS,ST OIS,LI OIS,LI Pocket,LI Utility,SH OIS ,GDP,UNEMP,BCI,CCI,CLI,BTS,ST OIS,LI OIS,LI Pocket,LI Utility,SH OIS ,GDP,UNEMP,BCI,CCI,CLI,BTS,ST OIS,GDP,UNEMP,BCI,CCI,CLI,BTS
3/30/05,38655933.33,50038726.41,44790227.71,5248498.701,26063100.43,15468376.53,5.6448,100.5276667,100.7705333,100.3861667,0,17584561.81,3327085.78,3073597.49,253488.29,7210519.24,2463238.183,8.7,100.2424667,100.0390333,99.88399667,0,5162237.356,7441929.258,7424007.602,17921.65558,3262398.057,2252804.575,9.768041224,101.1332,101.6036,99.80876667,0,5537065.617,3338109.447,3323639.83,14469.61702,1251772.383,1772293.236,3.8487,101.0601,101.3397667,99.47144667,0,3293259.23,2694168.59,2689151.71,5016.88,3215507.56,2332909.821,8.3,100.1576233,100.5649,99.85005,0,3570517,1790937.7,1710339.63,80598.07,1499464.09,1526461.682,10.2,100.6374,100.4068667,100.3010667,0,1842770.469,2466527.11,2366621.143,99905.96754,79947.29051,3332669.819,11.5,100.1107533,98.91744,99.85141667,0,804352.9545,185066.5909,184051.8182,1014.772727,505575,685247.8092,18.9,100.0931667,99.90580667,,0,4161721.978,233012.0879,163243.956,69768.13187,2008442.857,2398480.294,4.6,100.3764667,100.9601667,100.4435333,0,2676045.395,5260476.316,5080103.289,180373.0263,1232140.789,1335474.412,7.413,100.9686667,101.2272667,100.0175033,0,1959322.294,216198.6471,207531.1176,8667.529412,245249.0588,522598.9669,29.1129,102.6161,,100.6139667,0,1968025.904,2684189.759,2640557.229,43632.53012,1094475.904,838035.8384,5.5806,99.83235667,101.5371,100.1562333,0,497806.9264,144775.7576,129277.9221,15497.8355,1115383.55,2621101.164,8.7142,101.4289667,,99.17596667,0,0,3267391.097,,101.0502667,,,
6/30/05,70769568.62,51726185.94,46328507.76,5397678.182,28369904.48,15539772.57,5.0266,100.0900333,100.5097333,100.2693333,1,43677159.58,3336029.14,2996602.82,339426.32,9302232.16,2468116.972,8.1,99.73599,99.74589667,99.77545,1,2206565.727,5196416.007,5181745.75,14670.25657,2914299.018,2306914.961,9.462527083,100.3569333,101.1014333,99.20771333,0,10638250.13,2820354.298,2807253.447,13100.85106,1242872.766,1777640.465,3.4821,100.6088667,100.669,98.83991333,1,4213144.87,4167055.04,4155716.4,11338.64,5309025.61,2349462.395,7.5,99.84594667,100.2564333,99.46137333,1,6103408.67,1771787.874,1654559.83,117228.044,2108239.83,1539926.195,9.3,100.3873667,100.2891667,100.3893667,1,1756632.15,2643600.291,2455005.92,188594.3704,159638.836,3351366.351,11.3,99.81523667,98.71773333,99.56057667,1,1454347.045,188290.2273,187164.0909,1126.136364,668374.3182,686554.53,18.1,100.0320533,99.79512333,,1,4549435.165,288859.3407,194193.4066,94665.93407,2571807.692,2428300.024,4.6,99.44194333,100.8443,100.2899333,1,6060040.132,6074223.026,5818552.632,255670.3947,1551670.395,1345163.582,6.7629,100.7740333,101.1854667,99.83351,1,1337133.342,300580.4706,294515.1176,6065.352941,229246.4118,531977.4416,,102.4245667,,100.8882,0,2155333.133,2386507.831,2367071.084,19436.74699,939598.1928,841798.6248,5.0446,99.92799,100.8663,99.946,0,612378.355,183702.1645,159427.7056,24274.45887,1332169.004,2661002.061,7.3141,100.8890333,,99.41713333,0,0,3370866.073,,101.2414333,,,
9/30/05,49527949.74,52864237.12,48765835.41,4098401.706,28861707.19,15678283.82,4.9676,100.5532667,99.97966667,100.4064,1,21342310.59,4010255.89,3792812.82,217443.07,7247034.41,2480736.774,8.2,99.87795667,99.80044,99.87812,1,6177874.987,5956739.732,5898113.399,58626.33302,3400959.138,2287355.199,9.882151092,99.8167,100.4316667,98.78835333,0,5231053.149,2987197.234,2975658.17,11539.06383,1293540.809,1794228.489,3.7848,100.5387,100.7129667,99.50304,0,4195358.31,3922402.5,3913692.31,8710.19,5598211.01,2364706.362,7.1,100.2465667,99.95134,99.4197,1,7441286.72,1739286.217,1673219.477,66066.7399,1947266.717,1554817.212,8.4,100.5626667,100.3580667,100.5593667,1,1574853.914,2991628.556,2819274.36,172354.1958,100393.6318,3379021.775,11.1,99.94465667,98.68786333,99.79952333,0,1636396.591,236289.3182,234906.1364,1383.181818,731885.4545,699616.3859,17.4,100.1548,99.74461,,1,4858487.912,263157.1429,206372.5275,56784.61538,2484812.088,2455959.068,4.8,99.44756667,100.7232333,100.2355,1,5357957.895,6775525,6489344.737,286180.2632,1878265.132,1361458.555,6.7812,101.0597333,100.4143333,99.76284667,1,1938607.918,211883.2353,205938.2353,5944.999999,208922.2353,539231.6051,29.131,102.5979,,101.29,0,2819625.904,2767561.446,2705657.229,61904.21687,952903.012,850778.3523,4.7573,99.34352,100.5721333,99.87930667,0,829645.8874,220513.4199,181082.2511,39431.16883,2140052.814,2707894.371,6.6749,100.9952,,100.0060167,1,0,3417768.826,,101.4826667,,,
12/30/05,37311349.7,54037007.58,48143868.5,5893139.074,25958680.93,15777286.4,4.7048,100.7685667,99.52677333,100.8108,0,15642174.27,3583350.61,3051599.36,531751.25,7196275.38,2499456.313,9,100.0702333,99.39510333,100.1403667,0,10383730.15,6008576.756,5972743.689,35833.06726,4297434.448,2308762.402,9.7953403,99.96215667,100.1898667,98.91509,1,3674821.447,3294112.766,3265926.681,28186.08511,1261324.596,1822544.745,3.1231,100.5942,101.7002333,100.547,0,3802152.11,5648525.06,5616127.38,32397.68,3922636.07,2367631.228,8.1,100.6171667,100.2438,99.76447,0,3526255.66,2759688.8,2679284,80404.8,1488526.23,1570580.985,8.7,100.6535,100.1448667,100.7486,0,2013575.903,3226392.689,2700070.664,526322.0253,109893.9238,3394991.834,10.8,100.2106667,99.26105333,100.4445,0,634031.5909,334330.2273,332134.5455,2195.681818,627533.8636,712638.5927,16.8,100.2361667,100.15166,,0,3937178.022,360727.4725,284298.9011,76428.57143,2496175.824,2492798.2,5.1,99.33135667,100.4799333,100.3711,0,2688234.868,6092641.447,5860280.263,232361.1842,1393259.211,1374919.763,6.0859,101.2421,100.4154,99.97768667,0,3458390.758,265723.0588,248608.8235,17114.23529,258351.5882,542842.3614,,102.7458333,,101.5915,1,4243515.06,3474401.808,3447860.844,26540.96386,1080462.651,857974.4883,4.7552,99.47913,100.1832,99.86783333,1,487180.9524,225923.8095,184669.2641,41254.54545,1133856.277,2763753.912,6.7928,101.0825667,,100.7089667,0,0,3504166.846,,101.497,,,
3/30/06,39616489.01,54875936.92,50641821.79,4234115.126,25576279.65,15987169.61,5.0257,100.3795667,100.2141,101.2021667,0,17825068.16,3416312.51,3159957.59,256354.92,6387910.79,2518300.95,9.1,100.4491333,99.56214333,100.4603667,0,5250392.484,6168814.577,6132061.24,36753.33756,2838832.922,2348397.866,9.976820115,100.4790333,100.6326667,99.55917,0,7049934.298,3741044.17,3739741.574,1302.595745,1312480.213,1854342.309,3.5324,100.7590333,102.3147667,101.2279333,0,3720664.77,2077225.9,2051451.5,25774.4,3788658.1,2374503.038,7.6,100.9480667,100.4219,100.2697333,0,4689888.36,1897202.78,1800074.5,97128.28,1897275.28,1588565.77,9,100.6119333,99.99906333,100.9029,0,1776758.087,2489285.491,2375634.832,113650.659,103522.4412,3427710.752,11.3,100.7157667,99.89964,101.1205,0,798263.4091,159653.1818,158673.8636,979.3181818,434625,723367.7138,16.1,100.1735667,100.5343333,,0,4461310.989,218598.9011,145912.0879,72686.81319,1911849.451,2502753.193,5.2,99.29802,100.5319333,100.7098333,0,2967246.053,6735717.763,6476848.026,258869.7368,1581971.053,1386070.3,6.8908,100.8966667,101.3852,100.2369333,0,2119704.765,331463.9412,320099.8235,11364.11765,270393.7059,552379.131,28.5622,102.8524333,,101.8620667,0,2344703.613,2708318.072,2672361.446,35956.62651,853606.0241,859758.0799,5.5107,99.56106,100.8648333,99.90119,0,562305.6277,221197.4026,196176.6234,25020.77922,681519.4805,2817111.089,7.3955,101.2311,,101.7043,0,0,3591966.301,,101.32,,,
6/30/06,68181432.42,51358058.1,47180094.83,4177963.273,32107931.99,16024531.58,4.587,100.1896,99.67187667,101.1754,1,43445044.76,3860023.65,3523029.3,336994.35,9934807.52,2543730.701,8.3,100.7644667,99.65427333,100.6069667,1,1573034.007,6009163.778,5972560.313,36603.46532,2906228.217,2358918.665,10.3761843,100.6022333,100.5057,100.0139733,0,11504826.54,3165287.319,3164476.936,810.3829787,1426917.191,1872979.648,3.1365,100.6658333,102.3885333,101.8846,1,4926775.84,3565289.02,3516180.81,49108.21,5819698.39,2389774.087,6.5,101.3880667,100.6429667,100.7826667,1,5537667.86,1912689.06,1837937.99,74751.07,2241930.16,1603962.384,8.5,100.8742667,99.81580333,101.0730667,1,2084412.946,2469156.35,2335590.251,133566.0992,178890.6254,3487306.139,10.2,101.3155333,100.0956,101.4550667,1,1442971.591,192016.5909,191245.6818,770.9090909,683309.7727,740096.269,14.1,100.5848,100.3068333,,1,4320030.769,141961.5385,96100,45861.53846,2437352.747,2509048.595,5.3,100.3071333,100.5189,101.1022,1,5452294.737,6186486.184,5970984.868,215501.3158,2123353.289,1386786.155,6.1388,100.3752333,101.3721667,100.1873333,1,1602708.765,311011.7059,300676.2941,10335.41176,240405,560224.5847,,102.7866333,,102.1933,0,2630862.048,2972468.675,2927872.892,44595.78313,909318.0723,861214.8084,4.8484,99.62632667,100.5217,99.86668333,0,662489.1775,237116.0173,200928.1385,36187.87879,690934.1991,2871343.406,6.4378,102.2246333,,102.6549333,0,0,3643560.63,,101.6128333,,,
9/30/06,51517656.26,58735101.57,54417488.52,4317613.048,34399758.68,16049310.77,4.6604,99.89388333,99.76933667,101.1145333,1,23591782.27,3322905.56,3120469.25,202436.31,8312040.09,2544085.977,8.1,100.9101,99.84755667,100.8240667,1,6712413.523,6131400.433,6073036.963,58363.46954,4309248.51,2391146.078,9.942763397,100.5134333,100.5532667,100.2320667,0,6118275.19,3359723.021,3359105.362,617.6595745,1201036.426,1878785.712,3.9918,100.8647667,102.5123333,101.5015,0,3965863.39,5095708.66,5061001.58,34707.08,5499343.23,2399709.965,6.1,101.4115667,100.7980667,101.2040667,1,7920255.88,1789460.33,1680082.46,109377.87,2002167.87,1618865.439,8.1,100.8942667,99.93406333,101.4264333,1,1603242.032,2909471.527,2834106.149,75365.37857,169726.4175,3513793.155,9.8,101.6300667,99.83673333,101.4827,0,1736098.864,262372.7273,262238.4091,134.3181818,612523.8636,752408.1957,13.1,101.1730667,100.365,,1,4945146.154,155667.033,94938.46154,60728.57143,2830404.396,2511627.843,5.6,100.4049333,100.4640667,101.5034667,1,5786850.658,6446994.737,6262415.132,184579.6053,2396556.579,1390658.692,6.5181,100.1835,101.0865,100.0566667,1,1956306,282524.4706,274923.0588,7601.411765,268769.0588,567962.033,28.1301,102.8775,,102.4760333,0,3117158.434,3048051.205,3016942.771,31108.43373,1092587.349,874075.7137,4.4874,100.1467333,99.80753667,100.1032367,0,1335342.857,265797.4026,225178.355,40619.04762,1041504.762,2937273.159,6.1452,102.9710667,,103.1919667,1,0,3763907.324,,101.8316333,,,
12/30/06,42221968.54,57897835.31,52185534.64,5712300.667,29625291.81,16186029.26,4.2264,99.47449667,100.6120333,101.3704667,0,12226574.22,3626808.46,3329778.62,297029.84,6309455.12,2564717.001,8.3,101.0622667,100.1634333,101.2109333,0,10462328.12,7510642.631,7441720.199,68922.43269,4131518.03,2419520.569,9.640024013,100.8145,101.0977,100.7596667,1,4100748.509,3850567.702,3851291.745,-724.0425532,1511772.553,1882680.464,3.5945,101.2889,102.3074,100.6595,0,3672822.71,6854954.34,6793517.76,61436.58,4378877.61,2427880.214,6.9,101.3492667,100.8890667,101.5573667,0,3421417.33,2706966.47,2637581.8,69384.67,1707324.84,1634430.585,8.3,101.0772667,100.1953667,101.9188,0,2524967.168,2784133.978,2659002.802,125131.1753,276617.0108,3567545.885,9.8,101.9918667,99.81122,101.6347,0,682078.6364,269247.2727,268413.4091,833.8636364,678677.7273,741617.0467,12.2,101.5928,100.5744,,0,4171529.67,237714.2857,173783.5165,63930.76923,2637505.495,2524676.803,5.3,100.7158,100.5334333,101.9146,0,2644233.553,6988803.947,6705354.605,283449.3421,1784629.605,1396201.834,5.7429,100.4355667,101.1996,100.1834,0,3821042.118,288602.5882,275677.6471,12924.94118,269522.9412,575815.6381,,102.9519333,,102.6328,1,4609581.325,3428787.952,3374532.53,54255.42169,1142367.47,885263.6975,4.2955,100.2412667,100.0998067,100.5230667,1,636425.1082,444681.3853,404455.4113,40225.97403,1241314.286,2993059.041,6.1761,103.3417,,103.5795333,0,0,3828318.614,,101.9452333,,,
3/30/07,34663364.51,55893291.97,52140752.99,3752538.978,34297987.63,16224146.25,4.8156,99.51866,100.5594333,101.7131667,0,16391015.03,2529176.27,2281103.74,248072.53,5620674.42,2583086.268,8.5,101.212,100.2858,101.5619,0,3863228.586,5935975.108,5911906.934,24068.17413,2799425.398,2469552.003,9.638346533,101.4219667,101.3051667,101.5479,0,7496404.384,3854777.234,3852877.447,1899.787234,1403686.511,1895985.256,3.9474,101.6043667,101.6662,99.79253667,0,3755166,3160683,3136640,24043,4448144,2427802.218,6.4,101.3888,100.7864333,101.8501,0,5168621.82,1319426.56,1225631.77,93794.79,2003645.96,1649381.792,8.4,101.3949667,100.0898667,102.2516333,0,1755080.44,2132648.76,2045696.31,86952.45,470786.07,3569396.785,9.5,102.0171667,100.2638667,101.9039333,0,901180.9091,166170.9091,164835.6818,1335.227273,625285.2273,774935.7498,11.3,101.6612333,100.7860667,,0,3975241.758,93951.64835,22687.91209,71263.73626,2328065.934,2548240.725,5.5,101.1222667,100.2788667,102.1924,0,2924623.684,5878667.105,5611405.921,267261.1842,1869789.474,1405132.312,6.5924,100.4217,101.4617,100.4411,0,2477556.527,385298.3518,372036.3524,13261.99941,330550.3508,585165.6963,28.0234,102.8674333,,102.6492667,0,2363559.639,3182113.855,3155951.205,26162.6506,1023376.506,898469.4819,4.9812,100.1754667,101.2075,100.6524667,0,181910.2062,69201.19962,62522.16013,6679.039487,80231.67936,3047342.684,6.2682,103.6377,,104.0774,0,0,3935258.708,,101.7971,,,
6/30/07,69946228.25,59861201.02,53775850.9,6085350.121,41963140.92,16317089.9,4.431,99.89415,100.0832667,102.0043667,1,43651642.88,3042776.21,2873785.65,168990.56,8837348.5,2603291.962,7.5,101.2377,101.0304667,101.7760667,1,855246.5738,6338205.391,6306275.574,31929.81734,3385178.159,2513147.788,9.281559193,101.9924333,101.3852,102.3464667,0,12154263.66,2906145.064,2906097.489,47.57446809,1649200.426,1910709.223,3.316,101.4331667,101.7829333,99.96757667,1,4961780,4493614,4456151,37463,6542037,2430674.003,5.7,101.4993667,100.4100667,102.0069,1,6360663.218,1377589.36,1318233.57,59355.78998,2530835.26,1664164.467,7.9,101.2462333,100.0206567,102.4237667,1,2063102.44,2996192.88,2820758.56,175434.32,89407.86,3599388.665,8.6,102.0684667,100.9892333,102.0848,1,1504072.727,239104.0909,238733.4091,370.6818182,737689.3182,784018.5779,9.6,101.8885333,100.9754333,,1,4508353.846,131556.044,92083.51648,39472.52747,2864734.066,2564038.62,5.2,101.2619,100.6348333,102.2147,1,5839596.711,6855607.237,6592248.026,263359.2105,2444150.658,1418746.742,6.0248,100.3554,101.2818,100.5547667,1,1744303.236,368138.8237,358094.2942,10044.52947,313948.2942,589961.1843,,102.6207,,102.5208,0,2941787.349,3091246.988,3050187.952,41059.03614,916480.7229,903768.7823,4.3154,100.04644,101.8446,100.658,0,322480.1579,116278.3645,109805.8294,6472.535058,374847.098,3124251.464,5.3129,103.8882,,104.4973667,0,0,4034433.072,,101.5698667,,,
9/30/07,52463964.41,56332013.35,52217713,4114300.355,35613790.88,16405735.97,4.6769,99.64830333,99.77973,101.9541333,1,29909973.42,4028339.91,3736978.33,291361.58,7531242.25,2612078.786,7.2,101.2351,100.8628667,101.7617,1,2719047.459,7732331.591,7695227.461,37104.1305,3915000.76,2532574.831,8.764407539,102.2166,101.5878333,102.8505333,0,7982771.915,3409403.532,3409104.17,299.3617021,1406602.468,1922686.7,3.8151,101.1152667,101.6462667,100.5808667,0,4746350,2314200,2259557,54643,6231960,2435018.512,5.6,101.1354,100.0188667,101.8436,1,8801963.5,1968912.74,1904978.5,63934.24,1735557,1676924.757,8,100.9911,99.97999333,102.4555,1,2706825.86,2517296.36,2468444.13,48852.23,234398.07,3617695.282,8.4,101.8955333,100.8396333,101.9490667,0,1803207.5,323064.0909,322616.8182,447.2727273,784691.1364,797361.3837,9,101.6815333,101.0288333,,1,5946270.33,146378.022,119969.2308,26408.79121,2802285.714,2583942.951,5.5,101.0001667,100.7475667,101.8008333,1,5442778.947,6420517.763,6285571.711,134946.0526,2447323.026,1424703.415,6.0269,100.6346333,101.4177333,100.4714333,1,2051882.412,361166,349693.8824,11472.11765,327021.353,596875.1192,25.0712,102.0941333,,102.1612333,0,3225139.759,2773404.217,2752154.217,21250,1183650.602,913793.4423,4.0817,100.6113333,101.5040667,100.6631,0,591833.3644,165659.6999,157741.2888,7918.411026,432402.2499,3193144.657,5.0474,103.6539333,,104.6525,1,0,4106830.029,,101.4900333,,,
12/30/07,37149602.69,65005658.89,58984977.98,6020680.909,34825841.26,16505456.91,4.566,99.28701667,99.00397,101.6057667,0,15346574.67,4082406.61,3733597.28,348809.33,8309176.83,2618423.714,7.4,101.3334333,99.95167667,101.3854,0,10570661.69,7932807.009,7874936.75,57870.25868,4600927.435,2579855.836,8.303446775,102.3685667,102.1569333,103.0333333,1,4726029.957,3489763.745,3489709.872,53.87234043,1626251.404,1930238.742,3.438,100.4445667,101.2819,100.3814,0,3362223,5767952,5716126,51826,4507002,2427251.368,6.6,100.8661,99.66507667,101.561,0,3296254.22,2837414.07,2699450.11,137963.96,1551532.63,1687704.794,8.6,100.7252667,99.23085667,102.1452333,0,2052794.26,2890848,2593591,297257,160234,3641065.292,8.2,101.5580333,100.3136667,101.6524,0,814096.8182,194127.9545,193357.9545,770,666967.9545,807759.4461,8.5,101.5691,101.3299333,,0,3671132.967,73156.04396,45124.17582,28031.86813,2831023.077,2596115.193,5,101.0619333,100.4761,101.0040333,0,2971821.711,7245844.737,6990586.842,255257.8947,2492506.579,1426322.121,5.5125,100.5062,101.2804667,100.2257667,0,3763057.177,386589.8236,372679.5883,13910.23535,313599.5295,605331.9246,,101.7289,,101.5473,1,4929562.651,3407853.012,3380309.036,27543.9759,925117.4699,918382.3945,4.139,100.5703,101.0933667,100.7573333,1,370686.2086,219630.6942,205999.035,13631.65923,524319.1879,3295128.338,5.1302,103.1303333,,104.3954,0,0,4245512.924,,101.2500333,,,
3/30/08,33197133.65,49059805.95,44625114.7,4434691.247,33143227.44,16410600.08,5.2788,99.11976,98.23106667,101.1776333,0,16950644.68,3288519.53,3076207.24,212312.29,7826784.13,2629667.447,7.2,101.1994,99.05745333,100.7249,0,3831233.773,7437324.238,7407725.112,29599.12575,3551568.5,2620956.909,7.796752843,102.24,102.4772667,102.9374333,0,8066580.851,2786652.043,2786376.298,275.7446809,1343140.255,1926597.633,3.8384,100.2937667,100.9827,100.1204833,0,4298524,1776423,1718743,57680,4444731,2452567.707,7.1,100.6398667,99.37428,101.3415667,0,4944523.813,2286440.13,2159544.56,126895.57,2023688.92,1691346.292,9.6,100.274,98.67281,101.3036,0,1864514,2222928,2082650,140278,167825,3664923.942,8.2,101.4312667,99.86645333,101.2577333,0,1008280.177,310422.9477,309324.3114,1098.636364,547908.9823,823627.8813,8.1,101.6988,101.3113,,0,4317698.901,40102.1978,24717.58242,15384.61538,1979083.516,2610199.246,5.1,100.7841667,99.75685,99.77000333,0,2542511.322,6234035.362,5966497.803,267537.5592,2399099.901,1427415.262,6.3377,100.0394133,100.8082667,100.0086833,0,2800266.82,467017.2929,440448.0582,26569.23471,424415.2332,607875.6005,23.0633,100.9537667,,100.7877,0,2758533.133,3187750.602,3150554.819,37195.78313,1160934.94,928800.8345,4.4534,99.74045667,99.71085333,100.3935,0,258606.1391,260065.8405,252853.5036,7212.336923,754171.1946,3382553.755,5.767,103.0212,,103.5997,0,0,4271236.606,,101.432,,,
6/30/08,72075460.36,57851614.14,52091873.41,5759740.727,38265509.28,16495342.3,5.2499,99.26229667,96.98624,100.4931,1,51819121.71,3768294.14,3443306.47,324987.67,7527834.25,2617462.968,6.7,100.6099,98.30204333,99.86903667,1,2305313.625,7804387.319,7764728.464,39658.85545,4047762.346,2671955.859,7.741140158,102.2961667,101.7753333,102.4521333,0,13587934.04,2796806.043,2796714.128,91.91489362,1773186.426,1940868.872,3.4145,100.3692333,99.71044,98.80684333,1,4695107,5819781,5751590,68191,6305371,2430519.635,6.7,100.3646333,99.41886,100.9689333,1,6592943.74,1680263.66,1568860.33,111403.33,2141827.27,1693194.126,10.4,99.54259,97.51164667,99.97996667,1,2282761,2389892,2297828,92064,71598,3655575.702,7.8,101.1642333,99.35474667,100.35273,1,1689434.332,256407.4023,254884.575,1522.827273,805246.1409,826814.6551,7.1,101.3152333,101.4093,,1,5107351.648,77683.51648,50263.73626,27419.78022,2759641.758,2595719.255,5.2,99.98519667,98.13350333,97.95740667,1,5552585.974,6585006.625,6354734.434,230272.1908,3002140.474,1432577.822,6.0394,99.74765333,99.34373333,99.69891,1,1906910.294,409251.3531,395822.5883,13428.76476,467188.1766,615296.9573,22.5012,100.2207333,,99.93942333,0,2880428.917,2865277.711,2839951.808,25325.90361,1157339.157,930880.4045,4.2455,99.18254333,98.52400667,100.2393333,0,435734.194,171285.96,161082.949,10203.01103,734693.8605,3403579.79,5.3786,102.8916,,102.0337333,0,0,4315822.401,,100.8936,,,
